ID;language;definiendum;definition source;definition;
B4.0002;EN;speleogenesis;White and Culver, 2012;Speleogenesis is a result of dissolution of soluble rocks by groundwater.;
B4.0002;SL;speleogeneza;Grlj, 2014;Speleogeneza je proces nastajanja, razvoja in izginjanja jam.;
B4.0002;SL;speleogeneza;Grlj, 2014;Speleogeneza je razlaga izvora in nastanka jam.;
B4.0002;SL;speleogeneza;Gams et al., 1973;speleogeneza: Nastanek jame. Tudi tisti del speleologije, ki se bavi s preučevanjem jam.;
B4.0002;HR;speleogeneza;Vrbanac, 2013;speleogeneza : Proces formiranja špilje.;
B4.0002;EN;speleogenesis;Klimchouk et al., 2014;Speleogenesis (karstic) is a mass-transfer process, which critically depends on both, the aggressiveness of groundwater and its circulation (movement).;
B4.0003;EN;intrastratal karstification;Ford and Williams, 2007;Intrastratal karstification refers to the preferential dissolution of a particular bed or other unit within a sequence of soluble rocks, e.g. a gypsum bed in a dolomite formation.;
B4.0004;EN;diagenesis;Gunn, 2004 po Moore, 2001;Diagenesis is a term describing processes of compaction and/or cementation of the initially unconsolidated carbonate mud and debris.;
B4.0005;EN;paragenesis;Gunn, 2004;Paragenesis is the term introduced by Renault (1968) to describe the processes by which cave genesis within the phreatic zone is modified by influxes of sediment.;
B4.0005;SL;parageneza;Stepišnik, 2011;Rezultat parageneze so daljše vodoravne jame približno na višini gladine podzemne vode.;
B4.0005;SL;parageneza;Mihevc, 2001;Vzrok parageneze je zasipavanje dna rova s sedimenti in iztiskanje toka ter s tem tudi korozijskega procesa pod strop rova.;
B4.0005;SL;parageneza;Šušteršič in Knez, 1995;parageneza - Korozijsko večanje zalitega rova v smeri, kjer stene oz. dno niso prevlečene s plavjem. ;
B4.0005;HR;parageneza;Vrbanac, 2013;parageneza : U speleologiji, otapanje svoda špilje naviše zbog netopive riječne ispune na dnu.;
B2.0011;EN;mischungskorrosion;Monroe, 1970;Mischungskorrosion :   Dissolving of limestone by water derived from the mixing of two saturated waters that differ in carbon dioxide partial pressure. Such a mixture is undersaturated because a nonlinear reation exists between calcite solubility and the partial pressure of carbon dioxide. ;
B4.0007;EN;subsidence;Monroe, 1970;subsidence :  Lowering of the surface of the ground because of removal of support. Caused in karst areas by subterranean solution or collapse of caves.;
B4.0008;SL;preperevanje kamnine;Leskovar, 2007;Preperevanje kamnine je naravni proces, ki kamnino v času razkroji na delce, iz katerih je sestavljena.;
B4.0009;SL;disociacija;Stepišnik, 2011;Sadra je pogost mineral na Zemljinem površju, predvsem v sušnejših klimatskih okoljih.;
B4.0010;SL;morfogeneza reliktnih vršajev;Stepišnik, 2011;Morfogeneza reliktnih vršajev je posledica popolne ali delne prekinitve dotoka vodnih tokov in nanašanja flišne naplavine na območje vršajev.;
B4.0011;SL;korozijsko uravnavanje;Štefanić, 2015 po Ford in Williams, 2007;Proces, ki povzroča nastanek uravnav, imenujemo korozijsko uravnavanje (ang. corrosional planation) ter vključuje kombinacijo vertikalnega raztapljanja s padavinami, bočne korozije morfološko vzpetih delov, korozije pod naplavino ter zadenjske rečne erozije.;
B4.0012;SL;preoblikovanje udornic;Stepišnik, 2010;Preoblikovanje udornic je rezultat součinkovanja mnogih geomorfnih procesov.;
B4.0013;SL;inkazija;Gams et al., 1973;Inkazija: Preoblikovanje jamskega prostora zaradi jamskih podorov in drugih oblik rušenja skalovja. Če se odlepi ob leziki del sklada, govorimo o skladovnem odlomu. Če se odlomi skalni blok, je to blokovni odlom.;
B4.0014;SL;kalcifikacija;Gams et al., 1973;kalcifikacija: Zamenjava primarnih trdnih snovi v živalskih ali rastlinskih ostankih s kalcijevim karbonatom. V slovenski kraški literaturi često prepojitev snovi s kalcijevim karbonatom.;
B4.0014;HR;kalcifikacija;Roglić, 1973;kalcifikacija – zamjena primarnih organskih tvari kalcijevim karbonatom, što vodi okamenjivanju.;
B4.0015;SL;konvakuacija;Gams et al., 1973;Konvakuacija: Širjenje votline (rova) zaradi izpraznjenja jamskih sedimentov. Nastala votlina je konvakuacijska votlina.;
B4.0016;SL;kraška piraterija;Gams et al., 1973;kraška piraterija: Razširitev porečja s pretočitvijo sosednjega površinskega vodnega toka skozi kraško podzemlje.;
B4.0017;SL;kraški pojav;Gams et al., 1973;kraški pojav: Ena od morfoloških, hidroloških ali drugih značilnosti, ki predstavljajo kras. Tudi celokupnost kraških značilnosti ali sinonim za kras.;
B4.0018;HR;paleookršavanje;Vrbanac, 2013;paleookršavanje : Okršavanje koje zbivalo tijekom geološke prošlosti u kopnenim fazama.;
B4.0019;HR;slijeganje otapanjem;Vrbanac, 2013;slijeganje otapanjem : Postupno slijeganje netopivih slojeva uslijed otapanja podinskih slojeva.;
B4.0020;HR;evorzija;Roglić, 1973;"evorzija – udubljivanje vrtložastih lonaca pomoću nanijetih blokova i šljunka; jače udubljivanje nekog dijela istaknutih grebena, čime nastaju pećine i prirodni prozori (v.), nad kojima zaostaju stjenoviti lukovi.";
B4.0021;HR;gelifrakcija;Roglić, 1973;gelifrakcija – drobljenje stijena zbog naizmjeničnog zamržnjavanja (širenje) i odmržnjavanja vode u pukotinama. Tim procesom nastaju stjenoviti pejzaži u planinskom kršu (v. krš) i osuline (v.) pod strmcima. Proces je bio posebno intenzivan za vrijeme pleistocenskih oledbi.;
B4.0022;HR;inkrustacija;Roglić, 1973;inkrustacija – izlučivanje sedrenih i sigastih kora na stijenama, oko biljnih dijelova i drugih predmeta (v. se drene i sigaste tvorevine).;
B4.0023;HR;korazija;Roglić, 1973;"korazija – proces modeliranja udaranjem čvrstih čestica u plohe stijena (v. eforacija, v. evrozija). Korazija ima znatan udio u modeliranju krških podzemnih protočnih šupljina; k. je specifičan proces pustinjskog modeliranja.  ";
B4.0024;HR;krško modeliranje;Roglić, 1973;krško modeliranje – poniranje i pukotinsko protjecanje vode uvjetuju složeno modeliranje površja i podzemlja, čime se krš bitno razlikuje od drugih terena. Različite posebnosti uvjetuju prostorne razlike (v. krški proces), a vremenske izmjene modificiraju krški proces (v.). Specifičnost je krškog modeliranja relativno mali opseg akumuliranih oblika ako se usporedi s golemim količinama korodiranih stijena.;
B4.0025;HR;metamorfoza;Roglić, 1973;"metamorfoza – izmjena strukture stijena pod utjecajem tlaka, temperature itd.; vapnenac prelazi u mramor (oba se sastoje od CaCO3).";
B4.0026;HR;retroverzija;Roglić, 1973;"retroverzija – izmjena smjera otjecanja ponornice, uvjetovana različitim pružanjem podzemnih protočnih šupljina; može biti i suprotan smjeru površinskog dijela tekućice.";
C1.0001;EN;aquifer;Gunn, 2004;An aquifer is a body of rock that can store and transmit significant quantities of water.;
C1.0001;EN;aquifer;Monroe, 1970;aquifer :  A ground-water reservoir. Pervious rock that is completely saturated and will yield water to a well or spring.;
C1.0001;SL;kraški vodonosnik;Cerkvenik, 2006;Kraški vodonosnik je masa apnenca, ki zadržuje vodo, ki se steka s kraškega površja v podzemlje. Poleg zadrževanja vode poteka v vodonosniku tudi napajanje z vodo in njeno odtekanje.;
C1.0001;SL;kraški vodonosnik;Cerkvenik, 2006;Kraški vodonosnik je masa apnenca, ki zadržuje vodo, ki se steka s kraškega površja v podzemlje.;
C1.0002;EN;artesian aquifer;ni v korpusu;When an aquifer is bounded on top and bottom by confining beds, it  is called  an artesian aquifer.;
C1.0003;EN;contact karst;Mihevc, Prelovšek in Zupan Hajna, 2010;Karst formed by the influence surface river flow could be designated by the  term  of contact karst.;
C1.0003;SL;kontaktni kras;Stepišnik 2011 po Mihevc, 1991;Kontaktni kras je poseben tip oblikovanosti in delovanja površja, ki je na območjih, kjer vode pritekajo iz fluvialnega geomorfnega sistema v kraškega ali obratno (Mihevc, 1991).;
C1.0003;SL;kontaktni kras;Kodre, 2015 po Gams, Kunaver, Radinja, 1973;Kontaktni kras je kras na stičišču prepustnih in za vodo neprepustnih kamnin.;
C1.0003;SL;kontaktni kras;Novljan, 2015 po Mihevc, 1991;Kontaktni kras je tip površja, kjer pritekajo vode iz fluvialnega geomorfnega sistema v kraškega (ali obratno) oz. je kras preoblikovan pod vplivom alogenih vodotokov.;
C1.0003;SL;kontaktni kras;Hotić, 2013 po Stepišnik, 2011;Kontaktni kras je območje, kjer se prepletata fluvialni in kraški geomorfni sistem na stiku kraških in nekraških kamnin.;
C1.0003;SL;kontaktni kras;Ropret, 2016;Kontaktni kras je tip reliefa, značilen za stik med kraškimi in nekraškimi kamninami.;
C1.0003;SL;kontaktni kras;Stepišnik, 2011;Kontaktni kras je območje prepletanja procesov fluvialnega in kraškega geomorfnega sistema na stiku kraških in nekraških kamnin.;
C1.0003;SL;kontaktni kras;Stepišnik, 2011;Območja na stiku kraških in nekraških kamnin, kjer vode iz nekraškega površja tečejo v kras, imenujemo kontaktni kras.;
C1.0003;SL;kontaktni kras;Gostinčar in Stepišnik, 2012;Kontaktni kras je območje aktivnega hidrološkega stika med fluvialnim in kraškim geomorfnim sistemom.;
C1.0003;SL;kontaktni kras;Mihevc, 1991;Kontaktni kras je poseben tip oblikovanosti in delovanja površja, ki je na območjih, kjer vode pritekajo iz fluvialnega geomorfnega sistema v kraškega ali obratno.;
C1.0003;SL;kontaktni kras;Stepišnik 2011 po Mihevc, 1991;Kontaktni kras je poseben tip oblikovanosti in delovanja površja, ki je na območjih, kjer vode pritekajo iz fluvialnega geomorfnega sistema v kraškega ali obratno.;
C1.0003;SL;kontaktni kras;Gams et al., 1973;kontaktni kras, stični kras: Kras na sticišču prepustnih in vodno neprepustnih kamnin.;
C1.0003;SL;stični kras;Gams et al., 1973;kontaktni kras, stični kras: Kras na sticišču prepustnih in vodno neprepustnih kamnin.;
C1.0003;HR;dodirni krš;Vrbanac, 2013;dodirni krš : Međusobno povezana, zrakom ili vodom ispunjena mreža šupljina otapanja ili hidrološka mreža u okolišu karstificiranih karbonatnih stijena.;
C1.0004;EN;endokarst;ni v korpusu;Endokarst  is defined as  karst developing in the lower part of the karstosphere, where the internal (telluric) energy is dominant and the rock mass is under lithostatic pressure which exceeds its tensile strength.;
C1.0004;SL;podzemski kras;Šušteršič in Knez, 1995;endokras - Skupnost vseh kraških oblik, ki nastanejo v neprežeti in prežeti coni. Sinonim je podzemski kras. ;
C1.0004;SL;endokras;Šušteršič in Knez, 1995;endokras - Skupnost vseh kraških oblik, ki nastanejo v neprežeti in prežeti coni. Sinonim je podzemski kras. ;
C1.0004;SL;podzemeljski kras;Gams et al., 1973;podzemeljski kras, endokras: Kraški pojavi pod zemeljskim površjem, oziroma pod zemljo (prstjo). Nasprotje: površinski kras, eksokras, jug., int: eksokarst. Kras na zemeljskem površju.;
C1.0004;SL;endokras;Gams et al., 1973;podzemeljski kras, endokras: Kraški pojavi pod zemeljskim površjem, oziroma pod zemljo (prstjo). Nasprotje: površinski kras, eksokras, jug., int: eksokarst. Kras na zemeljskem površju.;
C1.0004;HR;endokrš;Vrbanac, 2013;endokrš : Gornji dio krškog sistema ispod površine, sa slobodnom drenažom vode plus područje ispod razine vode. Uključuje sve podzemne šupljine i elemente otapanja koji su prisutni u okolnim stijenama.;
C1.0005;EN;epikarst;Fong et al., 2013;The epikarst is a permeable boundary between the surface and subsurface environments and can be conceptualized as the vadose critical zone of epigenic karst systems.;
C1.0005;EN;subcutaneous zone;Gillieson, 1996;subcutaneous zone - the uppermost layers of rock below the soil on a karst. this zone is distinguished from lower zones by a higher porosity and storage capacity for water as a result of the presence of many solutionally enlarged fissures.;
C1.0005;EN;epikarst;Gunn, 2004;The highly corroded zone near the surface is termed the epikarst or subcutaneous zone.;
C1.0005;EN;subcutaneous zone;Gunn, 2004;The highly corroded zone near the surface is termed the epikarst or subcutaneous zone.;
C1.0005;EN;epikarst;ni v korpusu;The epikarst  is defined as  the uppermost zone of exposed karst rock, in which permeability due to fissuring and karstification is higher and more uniformly distributed than in the rock mass below.;
C1.0005;SL;epikras;Šušteršič in Knez, 1995;epikras - Skupnost vseh kraških oblik, ki nastanejo na stiku med kraško kamnino in tajno odejo, sem pa šteje tudi eksokras. Približno ustreza površinskemu in podpovršinskemu krasu. ;
C1.0005;HR;epikrš;Vrbanac, 2013 po Williams, 1983;"epikrš : Relativno debeli dio krša (debljine 15 do 30 m), neposredno ispod sloja tla, a karakteriziran je ekstremnim frakturiranjem i pojačanim otapanjem. Odvojen je od freatske zone neaktivnim, relativno
bezvodnim intervalom u kojem se lokalno može odvijati procjeđivanje. Mjestimično se mogu javiti rezevoari sa značajnim količinama vode i sustavi transporta vode";
C1.0006;EN;exokarstic  storey;ni v korpusu;The exokarstic  storey represents  the upper part of the karstosphere between the topographic surface and a depth of 0.5 to 7.0 km.;
C1.0007;EN;fluviokarst;Field, 2002;The  term  fluviokarst is used to describe a karst landscape in which the dominant physical landforms are valleys initially cut by surface streams that have been partly or completely diverted underground by subsurface conduit piracy.;
C1.0007;EN;fluviokarst;Monroe, 1970;fluviokarst :  A predominantly karst landscape in which there is much evidence of past or present fluvial activity.;
C1.0007;SL;fluviokras;Komac, 2004 po Roglić, 1957;Cvijić je izraz fluviokras za območja na karbonatnih kamninah, kjer prevladuje površinski odtok vode, uporabil že leta 1900 v razpravi o kraških poljih zahodne Bosne in Hercegovine, vendar ni podrobneje opredelil njegovega pomena.;
C1.0007;SL;fluviokras;Stepišnik, 2019;Fluviokras je geomorfni sistem, v katerem je kraško površje lokalno preoblikovano zaradi delovanja površinsko tekočih vod.;
C1.0007;SL;fluviokras;Kodre, 2015;Fluviokras je kras, ki je posledica delovanja površinskih tokov in erozije ter denudacije.;
C1.0007;SL;fluviokras;Kodre, 2015;Fluviokras je kras brez površinskih depresijskih oblik, vrtač ni oziroma jih je manj.;
C1.0007;SL;fluviokras;Šebenik, 2017 po Roglič, 1959;Roglič (1959) je fluviokras definiral kot površje, kjer lahko delujeta tako kraški kot fluvialni geomorfni sistem.;
C1.0007;SL;fluviokraško površje;Šebenik, 2017;Fluviokraško površje je prehodna oblika kraškega reliefa, kjer prevladuje odnašanje materiala s pobočij in akumuliranje materiala v kraških kotanjah.;
C1.0007;SL;fluviokras;Rajh, 2014;Fluviokras je tip kraškega površja, ki je v veliki meri razrezano z dolinami, večina katerih ima svoje začetne dele na krasu.;
C1.0007;SL;fluviokras;Rajh, 2014;Fluviokras je tip kraškega površja, ki je razrezano z rečnimi dolinami, večina njihovih začetnih delov pa je na krasu.;
C1.0007;SL;fluviokras;Stepišnik, 2011 po Roglič, 1959;Dele krasa, kjer na površju delujeta tako kraški kot fluvialni geomorfni sistem, Roglić (1959) imenuje fluviokras.;
C1.0007;SL;Fluviokras;Gams et al., 1973;Fluviokras: Kras, katerega površje je izoblikoval fluvialni proces (erozija, denudacija), čeprav je bila korozija znatna, vendar ne odločilna za relief. kras kraških polj in podolijl. Kras, kjer so kraška polja in povezane suhe doline - podolja - poglavitne kraške značilnosti površja (npr. kras Notranjskega podolja).;
C1.0007;HR;riječni krš;Vrbanac, 2013;"riječni krš : Tip okoliša gdje na površini još postoje korita vodotoka i riječne doline, ali se pretežni
dio drenaže odvija u podzemlju. Teren i s riječnim i krškim značajkama. Vapnenački okoliš nastao kombiniranim djelovanjem riječne erozije i otapanja vapnenca.";
C1.0007;HR;fluviokrš;Roglić, 1973;"fluviokrš - prijelazni reljef na stijenama koje se mehanički troše i otapaju, npr. dolomit ili na terenu gdje se smjenjuju karbonatne i klastične stijene. Na toj litološkoj podlozi imamo spiranje padina i poniranje  vode; dva procesa modeliranja vrše se jedan pored drugog i tako nastaje kombinirani fluviokrški reljef. Kombiniranim fluviokrškim procesima nastaju valoviti i otvoreni pejzaži ravnjaka (v.).";
C1.0008;EN;hypogene karst;Ford, 2000;Hypogene karst  is defined as  the formation of caves by water that recharges the soluble formation from below, driven by hydrostatic pressure or other sources of energy, independent of the recharge from the overlying or immediately adjacent surface.;
C1.0009;EN;karst;Bonacci, 1942;Karst is a very heterogeneous space medium which can be explained only be applying a great number of measurement points and by monitoring and measuring various phenomena : the water levels, water discharge and velocity, chemical composition of water, its temperature, concentration of suspended particles and the microorganisms in water.;
C1.0009;EN;karst;Field, 2002;Karst  is defined as a terrain, generally underlain by limestone or dolomite, in which the topography is chiefly formed by the dissolving of rock, and which may be characterised by sinkholes, sinking streams, closed depressions, subterranean drainage and caves.;
C1.0009;EN;karst;Ford and Williams, 2007;Karst is the term used to describe a special style of landscape containing caves and extensive underground water systems that is developed on especially soluble rocks such as limestone, marble, and gypsum.;
C1.0009;EN;karst;Gillieson, 1996;karst - tereain with special landforms and drainage characteristics on account of greater solubility of certain rocks in natural waters than is common.;
C1.0009;EN;karst;Gunn, 2004;Karst is terrain with distinctive hydrology and landforms arising from the combination of high rock solubility and well-developed solution channel (secondary) porosity underground.;
C1.0009;EN;karst;Gunn, 2004;Karst is terrain with distinctive hydrology and landforms arising from the combination of high rock solubility and well-developed solution channel (secondary) porosity underground.;
C1.0009;EN;kras;Monroe, 1970;kras, krš :  A Slavic word meaning bleak, waterless place, from which the term karst is derived. Synonym: karst.;
C1.0009;EN;karst;Monroe, 1970;"karst :   A terrain, generally underlain by limestone, in which the topography is chiefly formed by the dissolving of rock, and which is commonly characterized by Karren, closed depressions, subterranean drainage, and caves. See also buried karst; cone karst; covered karst; exhumed karst; Halbkugelkarst; holokarst; Kegel- karst; merokarst; microkarst; naked karst; paleokarst; pseudokarst; Spitz- kegelkarst; subjacent karst; syngenetic karst; thermokarst; tower karst.";
C1.0009;EN;krš;Monroe, 1970;kras, krš :  A Slavic word meaning bleak, waterless place, from which the term karst is derived. Synonym: karst.;
C1.0009;EN;karst;Monroe, 1970;kras, krš :  A Slavic word meaning bleak, waterless place, from which the term karst is derived. Synonym: karst.;
C1.0009;EN;karst;ni v korpusu;In the most general  terms , karst may be defined as a process of interaction between soluble rocks and different waters, as a result of which characteristic features develop on the Earth's surface and underground.;
C1.0009;EN;karst;ni v korpusu;Karst is a landscape created by the dissolution of carbonate rocks, although similar features can also be found in volcanic and permafrost areas.;
C1.0009;EN;karst;ni v korpusu;Karst is a product of processes that operate on continental land masses, especially when the land masses are uplifted above sea level.;
C1.0009;EN;karst;ni v korpusu;Karst is the  term  applied to terrains underlain by soluble rock: mainly limestone, dolomite and gypsum.;
C1.0009;EN;karst;ni v korpusu;The  term  karst describes a distinctive topography that indicates dissolution (also called chemical solution) of underlying soluble rocks by surface water or ground water. ;
C1.0009;EN;karst;ni v korpusu;The  term karst applies to a distinctive type of landscape that develops from the dissolving action of water on soluble bedrock, primarily limestone and marble but also dolostone, gypsum and halite.;
C1.0009;SL;kras;Urankar, 2007;Kras je območje, na katerem so se zaradi razpoklinske prepustnosti in topnosti kamnin razvile posebne površinske in podzemne reliefne oblike, ki so nastale kot posledica kemičnega in mehanskega delovanja vode v karbonatnih kamninah, v apnencu in dolomitu.;
C1.0009;SL;kras;Miklavčič, 2006 po Gams, 2003;Kot občno ime (kras) pomeni v ljudskem jeziku kamnito ozemlje, kar je v skladu s paleoevropsko osnovo.;
C1.0009;SL;kras;Stepišnik, 2011;Kras je tip zemeljskega površja, ki je dobil ime po pokrajini Kras v zaledju Tržaškega zaliva.;
C1.0009;SL;kras;Frelih, 2014 po Gams et al., 1973;Kras je ozemlje, kjer vlada zaradi poklinske prepustnosti kamnine podzemeljsko, kraško, pretakanje vode, učinkovito kemično raztapljanje kamnin in kjer so lahko razvite tudi značilne površinske in podzemeljske oblike.;
C1.0009;SL;kras;Šušteršič in Knez, 1995;KRAS (Pisano z malo začetnico) - K. je eden osrednjih terminov speleološkega izrazoslovja. Definicij k. ni malo, a so si često protislovne in odsevajo ožjo stroko avtorja. Navajava samo nekaj izzivalnih alternativ, ki naj spodbudijo razpravo. M. Este ban in C.F. Klappa (1983, 1 I) sta predložila naslednjo, po lastni oceni geološko definicijo. Prvo podpisani uporabljam pri predmetu geologija krasa fizikalnogeološko: Ena materializacij eksogenega preoblikovanja kontinentalne zemeljske skorje. Značilno je odnašanje snovi v raztopini, zanemarljiva akumulacija in vertikalen odtok padavinskih voda s površja. To se odraža v oblikovanju zaprtih globeli in kopastih vrhov ter v opazni kanalski poroznosti. Poleg splošnih pogojev za nastanek kakršnihkoli površinskih oblik pogojujejo nastanek krasa sorazmerno hitro in enakomerno topna matična kamnina (kraške kamnine), možnost nastajanja zveznih podzemskih kanalov in dovolj obilne padavine. ;
C1.0009;SL;kras;Šušteršič in Knez, 1995;"KRAS (Jamarska definicija) - Eden predelov na Zemlji, kjer najdemo človeku prehodne votline, daljše ali globlje od 10 m. Jamarska definicija verjetno ne more biti dosti drugačna, saj v nekaterih evropskih deželah raziskovanje opuščenih rudnikov, podzemskih kamnolomov, katakomb in ""jam"" pod ledeniki pretehta klasično jamarstvo v kraškem pozemlju. Najgloblja jama ZDA (Kazumura Cave na Havajih), ki je obenem jama z največjo znano horizontalno razdaljo med skraj nima točkama, je lavina cev. S slovenskim pojmovanjem krasa ima vse to kaj malo skupnega. ";
C1.0009;SL;kras;Gams et al., 1973;kras: Pri drugih neslovenskih narodih karst (tudi rusko), pri Čehih, Slovakih, Poljakih kras. Ozemlje, kjer vlada zaradi razpoklinske prepustnosti kamnine podzemeljsko (kraško) pretakanje vode, učinkovito kemično raztapljanje kamnin in kjer so lahko razvite tudi značilne površinske in podzemeljske oblike. Beseda je predindoevropskega izvora (carra = kamen) in je bila do srede 19. stol. samo pokrajinsko ime za regijo Kras med Tržaškim zalivom in Vipavsko dolino. Največ s posredovanjem avstrijske strokovne literature je postala v obliki karst mednarodni termin.;
C1.0009;HR;krš;Vrbanac, 2013;"krš : Tip topografije, odnosno područje razvedena okoliša i drenažnog sustava (često podzemnog),
formiran na vapnencu, gipsu i drugim stijenama koje se otapaju, prvenstveno disolucijom. Tipski lokalitet je u
Dinaridima.";
